zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,website,maxAge,address1,fax,industry,symbol,address2
10430,Industrials,14.0,"PT Krida Jaringan Nusantara Tbk provides courier services in Indonesia and internationally. It also offers freight forwarding and delivery services, and packages and movers services. The company was founded in 1998 and is headquartered in Jakarta Pusat, Indonesia. PT Krida Jaringan Nusantara Tbk is a subsidiary of PT Grafindo Karya Nusantara.",Jakarta Pusat,62 21 3190 1010,Indonesia,https://www.kjn.id,86400,Jalan Kramat VI No. 2. RT.1/RW.1,62 21 3190 1331,Integrated Freight & Logistics,KJEN.JK,
12190,Industrials,267.0,"PT Mineral Sumberdaya Mandiri Tbk, through its subsidiary, PT Rezki Batulicin Transport, engages in the land transportation business in Indonesia. It offers coal transportation services. The company is also involved in the rental of vehicles and trading business. It has 6 scania units, 59 dump truck units, 2 water tank units, and 20 units of Volvo double trailers. The company was formerly known as PT Maming Enam Sembilan Mineral Tbk. PT Mineral Sumberdaya Mandiri Tbk was founded in 1990 and is based in Jakarta Selatan, Indonesia. PT Mineral Sumberdaya Mandiri Tbk is a subsidiary of PT Batulicin Enam Sembilan Transportasi.",Jakarta Selatan,62 21 5010 5769,Indonesia,https://www.mesmineral.co.id,86400,District 8 Treasury Tower Level 52,32 21 5010 1069,Rental & Leasing Services,AKSI.JK,"Jl. Jendral Sudirman Kav.52-53 lot 28, Senayan Kebayoran Baru"
10270,Consumer Defensive,220.0,"PT Multi Agro Gemilang Plantation Tbk, together with its subsidiaries, engages in the oil palm plantation business in Indonesia. The company was incorporated in 2005 and is headquartered in Jakarta, Indonesia. PT Multi Agro Gemilang Plantation Tbk is a subsidiary of PT Santika Griya Persada.",Jakarta,62 21 720 5503,Indonesia,https://www.mag-plantation.co.id,86400,Panin Bank Tower,62 21 725 1488,Farm Products,MAGP.JK,Level 2 Jalan Jenderal Sudirman Kav.1
12930,Energy,84.0,"PT Exploitasi Energi Indonesia Tbk operates as an integrated coal-based energy company in Indonesia. It operates through Coal Trading and Steam Power Plant segments. The company produces and supplies coal; and operates steam power plants in Pangkalan Bun and Kalimantan Tengah. It also engages in shipping services. The company was formerly known as PT Central Korporindo International and changed its name to PT Exploitasi Energi Indonesia Tbk in 2010. The company was founded in 1999 and is headquartered in Jakarta, Indonesia. PT Exploitasi Energi Indonesia Tbk is a subsidiary of PT Saibatama Internasional Mandiri.",Jakarta,62 21 8051 1130,Indonesia,https://www.energigroupindonesia.com,86400,Sinarmas MSIG Tower,62 21 8051 1135,Thermal Coal,CNKO.JK,"9th Floor Jl. Jendral Sudirman, Kav. 21 Karet - Setiabudi"
12190,Industrials,82.0,"PT Hasnur Internasional Shipping Tbk offers river and sea commodity shipping transportation and logistics services in Indonesia. It operates through two segments, Shipping and Loading Unloading. PT Hasnur Internasional Shipping Tbk was founded in 2009 and is headquartered in Jakarta Selatan, Indonesia.",Jakarta Selatan,62 21 2934 3888,Indonesia,https://www.pthis.id,86400,Office 8 Lt 7,62 21 2934 3777,Marine Shipping,HAIS.JK,SCBD Lot 28 Jl. Jend. Sudirman Kav 52-53
60221,Consumer Cyclical,1528.0,"PT Kedawung Setia Industrial Tbk manufactures and sells enamel products in Indonesia and internationally. The company offers enamel houseware, corrugated carton boxes, egg tray boxes, and other products. It also exports its products. The company was founded in 1965 and is headquartered in Surabaya, Indonesia. PT Kedawung Setia Industrial Tbk is a subsidiary of PT Kitasubur Utama.",Surabaya,62 31 766 1971,Indonesia,https://www.kedawungsetia.com,86400,Jalan Mastrip No. 862,62 31 766 1981,Packaging & Containers,KDSI.JK,Warugunung Karangpilang
17133,Consumer Cyclical,556.0,"PT Champion Pacific Indonesia Tbk, together with its subsidiaries, engages in manufacture, supply, and sale of flexible packaging products in Indonesia. It offers various plastic products for the pharmaceutical, food, cosmetics, agrochemical, and other industries. The company was formerly known as PT Kageo Igar Jaya Tbk and changed its name to PT Champion Pacific Indonesia Tbk in October 2010. The company was founded in 1975 and is headquartered in Bekasi, Indonesia. PT Champion Pacific Indonesia Tbk is a subsidiary of PT Kingsford Holdings.",Bekasi,62 21 884 0040,Indonesia,https://www.champion.co.id,86400,Jl. Raya Sultan Agung Km. 28.5,62 21 884 0040,Packaging & Containers,IGAR.JK,Kota Baru Kotamadya
10350,Consumer Cyclical,2.0,"PT Royalindo Investa Wijaya Tbk, through its subsidiaries, manages and rents boarding facilities in Indonesia. It operates three rental facilities, including the PJ Mansion, Puri Cempaka 04, and Le Mansion Senopati. The company was founded in 2005 and is headquartered in Central Jakarta, Indonesia.",Jakarta Pusat,62 21 3983 9900,Indonesia,https://www.royalindo.id,86400,M@Cokro 49 # 100,62 21 3983 7700,Lodging,INDO.JK,Jl. HOS Cokroaminoto No. 49 Menteng
12760,Energy,32.0,"PT Mitra Energi Persada Tbk, together with its subsidiaries, engages in the energy infrastructure, and oil and gas businesses in Indonesia. It trades in and distributes natural and artificial gas through a network of downstream pipelines in South Sumatra region. The company also trades in machine and equipment, as well as solid fuel, liquid and gas, and other related products. In addition, it is involved in the power plant, coal mining, and other related businesses. The company was formerly known as PT Korpora Persada Investama, Tbk and changed its name to PT Mitra Energi Persada Tbk in January 2008. The company was founded in 1981 and is based in Jakarta Selatan, Indonesia. PT Mitra Energi Persada Tbk is a subsidiary of PT Mulya Tara Mandiri.",Jakarta Selatan,62 21 794 5838,Indonesia,https://new.mitraenergipersada.com,86400,Graha Krama Yudha,62 21 794 5837,Oil & Gas Refining & Marketing,KOPI.JK,2nd Floor Jl. Warung Jati Barat No. 43
12780,Consumer Defensive,881.0,"PT Gozco Plantations Tbk, together with its subsidiaries, develops and operates oil palm plantations in Indonesia. It also engages in the processing and trading of oil palm fruit, crude palm oil, and palm kernel. The company was formerly known as PT Surya Gemilang Sentosa and changed its name to PT Gozco Plantations Tbk in December 2007. PT Gozco Plantations Tbk was founded in 2001 and is headquartered in Jakarta Selatan, Indonesia.",Jakarta Selatan,62 21 2975 5555,Indonesia,https://www.gozco.com,86400,Gedung Gozco,62 21 2975 5556,Farm Products,GZCO.JK,Jl. Raya Pasar Minggu No. 32
10120,Technology,311.0,"PT Galva Technologies Tbk engage in the trading and installation of electronic and communications appliances in Indonesia. The company operates through Business Solutions, IT Distribution, and Document Solutions. It primarily sells computers, printers, displays, and audio-video equipment. The company also sells content creation products, including broadcast, and audio visual and media products; PA and communication products; professional audio and lighting products; digital signage products; security systems; and projectors and accessories. In addition, it offers system integration, design, installation, integration, maintenance, and engineering support services; sales, consulting, maintenance, and installation of information technology hardware and software; and a range of hardware and business process solutions, including scanning, archiving, document management, and managed print services. The company was founded in 1991 and is based in Jakarta Pusat, Indonesia. PT Galva Technologies Tbk is a subsidiary of PT Elsiscom Prima Karya.",Jakarta Pusat,62 21 345 6650,Indonesia,https://www.gtc.co.id,86400,Galva Building,62 21 350 1240,Electronics & Computer Distribution,GLVA.JK,3rd Floor Jalan Hayam Wuruk No. 27 Gambir
10120,Consumer Cyclical,338.0,"PT Bayu Buana Tbk operates as a travel agent in Indonesia and internationally. It provides online systems for airline companies; and hotel arrangement, travel insurance, travel document arrangement, car rental, airport assistance arrangement, travel management, and package tour services. The company also offers trading and industrial development, travel bureau, transportation, and Umrah services. In addition, it acts as an airlines ticket sales agent; and organizes conventions. The company was founded in 1972 and is headquartered in Central Jakarta, Indonesia.",Jakarta Pusat,62 21 2350 9999,Indonesia,https://www.bayubuanatravel.com,86400,Jl. Ir. H. Juanda III/2,62 21 351 7432,Travel Services,BAYU.JK,
60292,Industrials,25.0,"PT Putra Rajawali Kencana Tbk engages in the transportation sector in Indonesia and internationally. The company offers transportation, warehousing, upstream and internal supply chain logistics, downstream supply chain management, leasing, and wholesale or retail trading services. It operates in the areas of Bali, East Java, Central Java, West Java, Banten, Yogyakarta, Jakarta, South Sumatra, Lampung, West Sumatra, Jambi, and North Sumatra. The company was founded in 2012 and is headquartered in Surabaya, Indonesia.",Surabaya,62 31 9901 3573,Indonesia,https://puratrans.com,86400,Jl. Rungkut Industri Raya No 1F,62 31 9985 0898,Trucking,PURA.JK,Ruko Section One Blok F7-F11 Kendangsari Tenggilis Mejoyo
15119,Consumer Cyclical,1299.0,"PT Tunas Alfin Tbk manufactures and sells packaging products in Indonesia. The company offers dry and wet, wax, extrusion, and solventless lamination; paper and board metallizing; and printing services, as well as produces release paper and adhesive coating products. It serves cigarette, consumer food, and health and hygiene products manufacturing industries. The company was founded in 1977 and is headquartered in Tangerang, Indonesia. PT Tunas Alfin Tbk operates as a subsidiary of PT Proinvestindo.",Tangerang,62 21 552 6268,Indonesia,https://www.tunasalfin.com,86400,Jalan K.H. Agus Salim No. 9,62 21 5579 1115,Packaging & Containers,TALF.JK,"Poris Plawad, Cipondoh"
10260,Consumer Cyclical,22.0,"PT Panca Anugrah Wisesa Tbk engages in wholesale trading of household goods and equipment. It offers living room, bathroom, kitchen, and wardrobe furniture; wardrobe and bathroom products; kitchen and sanitary appliances; and luxurious interior appliances. The company was founded in 1990 and is headquartered in Jakarta Pusat, Indonesia.",Jakarta Pusat,62 21 718 0349,Indonesia,https://pancaanugrahwisesa.com,86400,"Gedung JDC Business Center, Lantai 6",,"Furnishings, Fixtures & Appliances",MGLV.JK,"Jalan Gatot Subroto Kav. 53 Petamburan, Tanah Abang"
14250,Industrials,877.0,"PT Indonesia Pondasi Raya Tbk engages in piling, retaining wall, and ground improvement activities in Indonesia. The company delivers foundation construction services for various building and infrastructure projects, including housings, house of worships, hospitals, skyscrapers, roads, bridges, and underpasses. Its services also include pile testing services comprising comprehensive, tension, integrity, and lateral tests; and other foundation construction services, such as soil nailing and shotcrete, slurry wall, ground anchor, kingpost, bar coupler, dewatering, and excavation services, as well as concrete batching plant. In addition, the company manufactures precast and pre-stressed piles; and machineries and equipment for the use in piling, retaining walls, ground improvement, pile testing, and other foundation construction activities. PT Indonesia Pondasi Raya Tbk was founded in 1977 and is based in Jakarta, Indonesia.",Jakarta,62 21 460 3253,Indonesia,https://www.indopora.com,86400,"Jl. Pegangsaan Dua KM. 4,5",62 21 460 4390,Engineering & Construction,IDPR.JK,
76114,Consumer Cyclical,23.0,"PT Karya Bersama Anugerah Tbk engages in the real estate development business. The company operates in two segments, Real Estate and Developer. It constructs Rusunami dwellings, landed houses, and shop-houses. The company was founded in 2014 and is headquartered in Balikpapan, Indonesia. PT Karya Bersama Anugerah Tbk is a subsidiary of PT Visi Kota Indonesia.",Balikpapan,62 54 276 5888,Indonesia,https://www.kbag.co.id,86400,PAM Tower,62 54 2882 0399,Residential Construction,KBAG.JK,8th Floor Balikpapan Superblock Jalan Jendral Sudirman No. 47
55281,Consumer Cyclical,119.0,"PT Eastparc Hotel Tbk owns and operates hotels in Indonesia. It operates Eastparc Hotel, a 5 star hotel with 192 rooms located in Yogyakarta. The company was founded in 2011 and is based in Yogyakarta, Indonesia.",Yogyakarta,62 274 493 2000,Indonesia,https://www.eastparchotel.com,86400,Jl. Laksda Adisucipto Km 6.5 Seturan,62 274 493 2222,Lodging,EAST.JK,
12210,Real Estate,226.0,"PT Perdana Gapuraprima Tbk develops real estate properties in Indonesia. It operates through Residential and Commercial Property segments. The company develops shopping centers, offices, apartments, hotels, condotels, houses, commercial, and mixed used projects. It also engages in buying, implementing, planning, and supervising construction of houses and buildings, as well as real estate, including housing development activities; and buying and selling of buildings and land rights. The company was founded in 1987 and is based in Jakarta, Indonesia.",Jakarta,62 21 5366 8360,Indonesia,https://www.gapuraprima.com,86400,The Bellezza Permata Hijau,62 21 5367 1378,Real Estate—Development,GPRA.JK,Jl. Letjen Soepeno No. 34
,Financial Services,978.0,"PT. Bank Pembangunan Daerah Banten, Tbk provides various banking services in Indonesia. It offers demand, savings, and time deposits, as well as current accounts; and investment, working capital, and consumer loans. The company also provides consumer, employee, and MSME credit services, as well as e-banking services. As of December 31, 2021, it operated 150 automated teller machines. The company was formerly known as PT Bank Pundi Indonesia, Tbk and changed its name to PT. Bank Pembangunan Daerah Banten, Tbk in August 2016. The company was founded in 1992 and is headquartered in Serang, Indonesia. PT. Bank Pembangunan Daerah Banten, Tbk is a subsidiary of PT Banten Global Development.",Serang,62 25 4791 5877,Indonesia,https://www.bankbanten.co.id,86400,Jl. Sudirman Lingkungan Kemang,,Banks—Regional,BEKS.JK,Ruko Sembilan No. 4 – 6 Kelurahan Sumur Pecung Kecamatan
29461,Real Estate,15.0,"PT Puri Global Sukses Tbk operates as a property developer in Indonesia. The company operates through Houses, Shophouses, and Others segments. It develops residential and commercial units. The company was founded in 2015 and is headquartered in Batam, Indonesia.",Batam,62 81 267 802221,Indonesia,https://www.puriglobalsukses.com,86400,Blok D No.12A,,Real Estate—Development,PURI.JK,Komplek Ruko Mahkota Raya Batam Centre
,Consumer Defensive,9.0,"PT Asia Sejahtera Mina Tbk processes and sells seaweeds in Indonesia. The company offers dried Eucheuma cottonii, Eucheuma spinosum, and Gracilaria seaweeds. The company was founded in 2008 and is headquartered in Jakarta Barat, Indonesia.",Jakarta Barat,62 21 2119 2523,Indonesia,https://www.asiamina.com,86400,Jalan DR. Makaliwe Raya No. 16 B,62 21 2119 2523,Farm Products,AGAR.JK,RT008 RW 004 Grogol Village Grogol Petamburan District DKI Jakarta
15139,Consumer Cyclical,94.0,"PT Multi Prima Sejahtera Tbk produces, manufactures, distributes, and sells spark plugs and motor vehicle accessory spare parts in Indonesia and internationally. It offers spark plugs for motorcycle and four-wheeled vehicles under the Champion brand. The company also distributes auto lamps, cooking oils, motors, and others. In addition, it trades in machinery, equipment, and other paraphernalia. The company was formerly known as Lippo Enterprises Tbk and changed its name to PT Multi Prima Sejahtera Tbk in 2001. PT Multi Prima Sejahtera Tbk was founded in 1982 and is headquartered in Tangerang, Indonesia. PT Multi Prima Sejahtera Tbk is a subsidiary of PT Multipolar Tbk.",Tangerang,62 21 558 9767,Indonesia,https://www.multiprimasejahtera.net,86400,Karawaci Office Park,62 21 558 9810,Auto Parts,LPIN.JK,Block M 39-50 Lippo Karawaci
,Real Estate,26.0,"PT Diamond Citra Propertindo Tbk, together with its subsidiaries, engages in the real estate business in Indonesia. It develops properties. The company was founded in 2014 and is headquartered in Depok, Indonesia. PT Diamond Citra Propertindo Tbk is a subsidiary of PT Karya Permata Inovasi Indonesia.",Depok,62 21 2941 5959,Indonesia,https://www.diamondland.id,86400,Jl. Palakali Raya,62 21 2941 5959,Real Estate Services,DADA.JK,Ex. Kukusan Beji District
12940,Consumer Cyclical,176.0,"PT Mega Perintis Tbk manufactures, retails, and trades in men's fashion products and accessories in Indonesia. PT Mega Perintis Tbk was founded in 2005 and is headquartered in South Jakarta, Indonesia.",Jakarta Selatan,62 21 573 3888,Indonesia,https://megaperintis.co.id,86400,JL. Karet Pedurenan No. 240,62 21 5290 437,Apparel Retail,ZONE.JK,Karet Kuningan Setiabudi
45418,Consumer Cyclical,33.0,"PT Hotel Fitra International Tbk owns and operates hotels in Indonesia. The company operates Fitra Hotel, a three-star hotel with 113 rooms located in Majalengka. It also provides travel and tourism services. The company is based in Majalengka, Indonesia.",Majalengka,62 23 3829 2888,Indonesia,https://www.hotelfitra.com,86400,Jl. KH Abdul Halim No.88 RT. 005 RW. 008,62 23 3829 1888,Lodging,FITT.JK,Kab. Majalengka Kulon Majalengka
11470,Industrials,153.0,"PT Cashlez Worldwide Indonesia Tbk provides digital financial technology and payment services in Indonesia. The company offers Cashlez Pay, a payment system feature that could process various types of non-cash payments offline and online; Cashlez Reporting, a feature for monitoring various merchant business transactions; and Cashlez mPOS, a POS application feature that could be used by business actors to manage sales and business transactions. It also provides Cashlez One, an Android-based device that could process various types of payments, including swipe and dip cards, as well as online payments; and Cashlez Reader Non-Printer and Cashlez Reader Printer, which are security tools for accepting various non-cash transaction methods from debit cards and credit cards, as well as online payments. The company was founded in 2015 and is headquartered in Jakarta Barat, Indonesia.",Jakarta Barat,62 21 298 60750,Indonesia,https://www.cashlez.com,86400,Garden Shopping Avenue B/08/BA,,Business Equipment & Supplies,CASH.JK,"Central Park, Podomoro City South Tanjung Duren Grogol Petamburan"
12940,Technology,25.0,"PT Kioson Komersial Indonesia Tbk, a technology company, provides digital platform in Indonesia. The company provides partnership-based financial payment service provider and operates as an individual agent to support micro, small, and middle businesses, as well as grocery stores. It is also involved in the financial services trading activities; and provision of transportation and warehousing services. The company was founded in 2015 and is headquartered in Jakarta Selatan, Indonesia. PT Kioson Komersial Indonesia Tbk is a subsidiary of PT Artav Mobile Indonesia.",Jakarta Selatan,62 21 3005 6255,Indonesia,https://www.kioson.com,86400,AXA Tower Kuningan City,62 21 3005 6284,Software—Application,KIOS.JK,42nd Floor Jl. Prof. Dr. Satrio Kavling 18 Karet Kuningan
50186,Consumer Defensive,70.0,"PT Prima Cakrawala Abadi Tbk, together with its subsidiaries, engages in the processing and distribution of fishery products in Indonesia. It offers pasteurized crab meat, and fresh and frozen products. The company also provides canning and cold storage of marine products. PT Prima Cakrawala Abadi Tbk was founded in 2014 and is headquartered in Semarang, Indonesia.",Semarang,62 24 866 1860,Indonesia,https://www.pcafoods.com,86400,Jl. Krt. Wongsonegoro No.39,62 24 866 1861,Packaged Foods,PCAR.JK,Wonosari Ngaliyan
15325,Consumer Defensive,83.0,"PT Kurniamitra Duta Sentosa, Tbk operates as a food and beverage industry in Indonesia. It trades, distributes, and sells syrups, fruit mixes, frappe products, and gourmet sauces; coffee products; almond milk, soy milk, coconut milk, dairy milk, and free lactose milk products; and coffee makers. The company was founded in 2000 and is headquartered in Tangerang Selatan, Indonesia. PT Kurniamitra Duta Sentosa, Tbk is a subsidiary of PT Miki Ojisan Indomitra.",Tangerang Selatan,62 21 2235 3388,Indonesia,https://www.kmds.co.id,86400,Jl. Komplek Pergudangan Multi Guna T8,62 21 2904 7378,Food Distribution,KMDS.JK,No 16 Alam Sutera Serpong Utara
50519,Consumer Cyclical,790.0,"PT Golden Flower Tbk manufactures and sells garments in Indonesia. It offers men's and women's casuals, and formal light woven wears. Its products include ladies blouse, men's shirts, non-iron shirts, casual shirts, skirts, dresses, night wear, uniforms, etc. The company also offers garment services, such as cutting, R and D, washing, sewing, checking, ironing, smoking, faggotting, pleatings, and finishing. It also exports its products. The company was founded in 1958 and is based in Semarang, Indonesia. PT Golden Flower Tbk is a subsidiary of PT Profashion Apparel.",Semarang,62 24 692 1228,Indonesia,https://goldenflower.co.id,86400,Jl. Karimunjawa,,Apparel Manufacturing,POLU.JK,Kelurahan Gedanganak Kecamatan Ungaran Timur Kabupaten
12950,Consumer Cyclical,1694.0,"PT Dosni Roha Indonesia Tbk, together with its subsidiaries, provides taxi and other related services in Indonesia. The company operates through Taxi Service, Gas Fuel, Medical Equipment Trade, and Others segments. It also sells gas fuels; and distributes pharmaceutical and medical equipment. The company was formerly known as PT Zebra Nusantara Tbk and changed its name to PT Dosni Roha Indonesia Tbk in March 2022. The company was founded in 1987 and is headquartered in Jakarta, Indonesia. PT Dosni Roha Indonesia Tbk is a subsidiary of PT Trinity Healthcare.",Jakarta,62 21 2788 3900,Indonesia,https://www.zebranusantara.co.id,86400,Satrio Tower Building,62 21 2788 3914,Specialty Retail,ZBRA.JK,23rd floor Jl. Prof. Dr. Satrio Blok C-4 No. 5 RT 7 RW 2
41371,Real Estate,40.0,"PT Nusantara Almazia Tbk engages in the property development business in Indonesia. It develops housing financing liquidity facilities (FLPP), commercial housings, apartments, offices, hospitals, hotels, and schools. The company was founded in 2007 and is headquartered in Karawang, Indonesia.",Karawang,62 26 743 2851,Indonesia,https://www.nusantara-almazia.com,86400,Kantor Pemasaran CKM City,62 26 743 2851,Real Estate—Development,NZIA.JK,Jl. Raya Citra Kebun Mas Desa Bengle Kecamatan Majalaya
16820,Consumer Cyclical,62.0,"PT Sunindo Adipersada Tbk manufactures and sells children's toys/dolls in Indonesia. The company offers realistic toys, fancy toys, baby toys, characters, costumes, educational toys, seasonal collections, and promo collections under the Ozco brand. It also engages in wholesale trading of children's toys and games. The company operates in Asia, Europe, Australia, and the United States. PT Sunindo Adipersada Tbk was founded in 1991 and is headquartered in Bogor, Indonesia.",Bogor,62 21 823 0272,Indonesia,https://www.sunindo.id,86400,Komplek Industri Bostinco,62 21 823 0264,Leisure,TOYS.JK,Jalan Raya Cileungsi-Bekasi Kilometer 22 Cileungsi Kidul Village Cileungsi Sub-dIstrict
10310,Communication Services,334.0,"PT Dyandra Media International Tbk, together with its subsidiaries, provides integrated event solutions in Indonesia. The company organizes events and exhibitions; and provides supporting events. It also operates venues and halls, including convention and exhibition halls; and hotels. The company was founded in 1994 and is headquartered in Central Jakarta, Indonesia. PT Dyandra Media International Tbk is a subsidiary of PT Teletransmedia.",Jakarta Pusat,62 21 3199 6077,Indonesia,https://www.dyandramedia.com,86400,Jl. Johar No. 9,62 21 3199 6227,Entertainment,DYAN.JK,Kelurahan Menteng Kecamatan Gondangdia
