emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,repurchaseOfStock,changeToAccountReceivables
TPIA.JK,2021-12-31,-623104000.0,0.0,-695834000.0,228119000.0,1134191000.0,,152121000.0,660211000.0,,221854000.0,99254000.0,8183000.0,-103514000.0,-58830000.0,-29521000.0,-80913000.0,1068416000.0,,
TPIA.JK,2020-12-31,-5232000.0,0.0,-111604000.0,35172000.0,-18049000.0,,51352000.0,258759000.0,,388412000.0,101599000.0,6576000.0,-103514000.0,-53221000.0,235461000.0,-113865000.0,1068416000.0,,
TPIA.JK,2019-12-31,-39740000.0,0.0,-411870000.0,173395000.0,107181000.0,,22882000.0,-66556000.0,,238133000.0,87617000.0,12835000.0,-32285000.0,-33929000.0,127634000.0,-385246000.0,1068416000.0,,
TPIA.JK,2018-12-31,-25442000.0,0.0,-369551000.0,-22703000.0,-149786000.0,,181651000.0,-115822000.0,,403515000.0,81884000.0,9913000.0,-80924000.0,-46159000.0,139980000.0,-354029000.0,1068416000.0,,
EMTK.JK,2021-12-31,-7162705636000.0,0.0,-10750355925000.0,-1886375331000.0,12672898977000.0,,5659161112000.0,4688318786000.0,11363003000.0,1571868880000.0,527053133000.0,-154040738000.0,,3870725680000.0,-4694756926000.0,-436646491000.0,10688548628000.0,,
EMTK.JK,2020-12-31,631588554000.0,0.0,-190736629000.0,1287361645000.0,-1857271435000.0,,2058199105000.0,-620480904000.0,6307904000.0,1395852080000.0,387995743000.0,-7623575000.0,,-2815919962000.0,-1130754329000.0,-304254180000.0,10688548628000.0,-328713118000.0,
EMTK.JK,2019-12-31,230358936000.0,0.0,-761378283000.0,1466755817000.0,1132989962000.0,,-1516034314000.0,-1309083973000.0,-78597239000.0,-1602098413000.0,423435677000.0,13874410000.0,,-333765855000.0,-589911337000.0,-833530348000.0,10688548628000.0,-328713118000.0,
EMTK.JK,2018-12-31,-2050494685000.0,0.0,-3232705778000.0,-11128415000.0,-385189782000.0,,-2621710475000.0,-2515958349000.0,259611177000.0,776037907000.0,495963148000.0,5232699000.0,,-374061367000.0,2821373673000.0,-611880793000.0,10688548628000.0,-328713118000.0,
BBNI.JK,2021-12-31,-14132630000000.0,0.0,-15656307000000.0,2666828000000.0,88669546000000.0,-15559237000000.0,10898518000000.0,46432694000000.0,505258000000.0,10528180000000.0,2006916000000.0,,-820101000000.0,86950845000000.0,16712853000000.0,-1850402000000.0,,-128026000000.0,
BBNI.JK,2020-12-31,-10744684000000.0,0.0,-11992116000000.0,-13213601000000.0,45448450000000.0,-15189921000000.0,3280403000000.0,45723001000000.0,600362000000.0,11666305000000.0,2576716000000.0,,-3846119000000.0,62587619000000.0,19355165000000.0,-1154449000000.0,,-79449000000.0,
BBNI.JK,2019-12-31,15235317000000.0,0.0,13483654000000.0,-14737328000000.0,14738238000000.0,-72615261000000.0,15384476000000.0,-17737434000000.0,-118938000000.0,-45840388000000.0,1386498000000.0,,-3753780000000.0,33229346000000.0,11330804000000.0,-1625306000000.0,,-79449000000.0,
BBNI.JK,2018-12-31,-7871114000000.0,0.0,-9611702000000.0,25374879000000.0,84794368000000.0,-94611790000000.0,15015118000000.0,6944754000000.0,221439000000.0,-68459351000000.0,1201294000000.0,,-4765767000000.0,64185256000000.0,9164850000000.0,-1865628000000.0,,-79449000000.0,
HMSP.JK,2021-12-31,688337000000.0,0.0,334448000000.0,-129551000000.0,-8597507000000.0,,7137097000000.0,2039347000000.0,,10302406000000.0,1180156000000.0,-20783000000.0,-8467956000000.0,,1985153000000.0,-412270000000.0,,,
HMSP.JK,2020-12-31,-308380000000.0,0.0,-863728000000.0,-170791000000.0,-14105697000000.0,,8581378000000.0,-3016386000000.0,,11953039000000.0,1349396000000.0,6225000000.0,-13934906000000.0,,2022265000000.0,-566828000000.0,,,
HMSP.JK,2019-12-31,873103000000.0,0.0,-56710000000.0,-152523000000.0,-13785001000000.0,,13721513000000.0,3304256000000.0,,17145967000000.0,1396105000000.0,6225000000.0,-13632478000000.0,,2028349000000.0,-959537000000.0,,,
HMSP.JK,2018-12-31,1100408000000.0,0.0,333591000000.0,-31442000000.0,-12512372000000.0,,13538418000000.0,8014702000000.0,,20193483000000.0,973886000000.0,-5443000000.0,-12480930000000.0,,5681179000000.0,-984541000000.0,,,
ICBP.JK,2021-12-31,-392220000000.0,0.0,-3100274000000.0,9535713000000.0,5905745000000.0,,6388477000000.0,10850060000000.0,55550000000.0,7989039000000.0,1632353000000.0,,-2507310000000.0,-1122658000000.0,-31791000000.0,-2249751000000.0,,,
ICBP.JK,2020-12-31,-129500000000.0,0.0,-34957389000000.0,29880889000000.0,26758085000000.0,,6586907000000.0,1187361000000.0,49885000000.0,9336780000000.0,1487643000000.0,,-2507310000000.0,-615494000000.0,1262230000000.0,-1919170000000.0,,,
ICBP.JK,2019-12-31,-323659000000.0,0.0,-2399814000000.0,-1090186000000.0,-1266076000000.0,,5038789000000.0,3636750000000.0,-95521000000.0,7398161000000.0,1205040000000.0,,-1597681000000.0,1421791000000.0,1154332000000.0,-2026189000000.0,,,
ICBP.JK,2018-12-31,-459939000000.0,0.0,-4712882000000.0,-1555640000000.0,-4242099000000.0,,4575799000000.0,-4092884000000.0,208722000000.0,4653375000000.0,1009264000000.0,,-2565620000000.0,-120839000000.0,-931688000000.0,-3511630000000.0,,,
CPIN.JK,2021-12-31,,0.0,-2819121000000.0,1520541000000.0,-316035000000.0,,3620961000000.0,-1011506000000.0,1745000000.0,2121905000000.0,1145915000000.0,-117953000000.0,-1836576000000.0,,2121905000000.0,-2807300000000.0,,,
CPIN.JK,2020-12-31,,0.0,-1805708000000.0,-1001725000000.0,-2329963000000.0,,3842083000000.0,716440000000.0,6536000000.0,4845575000000.0,1026753000000.0,-84267000000.0,-1328238000000.0,,-23261000000.0,-1812194000000.0,,,
CPIN.JK,2019-12-31,,0.0,-2854639000000.0,560654000000.0,-1374310000000.0,,3644672000000.0,-841758000000.0,-12982000000.0,3400173000000.0,869881000000.0,-84267000000.0,-1934964000000.0,,-1114380000000.0,-2765707000000.0,,,
CPIN.JK,2018-12-31,,0.0,-1607433000000.0,-1520266000000.0,-2438554000000.0,,4554391000000.0,1009677000000.0,19710000000.0,5035954000000.0,905944000000.0,-84267000000.0,-918288000000.0,,-424381000000.0,-1539028000000.0,,,
BYAN.JK,2021-12-31,,0.0,-164420087.0,-400562336.0,-748667323.0,,1212763808.0,596697356.0,-306166.0,1510090932.0,60657236.0,12528193.0,-300000015.0,-48104972.0,236669888.0,-177204425.0,,,
BYAN.JK,2020-12-31,,0.0,-100594642.0,32612654.0,-50827310.0,,328738867.0,209320458.0,-232591.0,360975001.0,-102950273.0,-10509380.0,-66666670.0,-16773294.0,135186407.0,-90289514.0,,,
BYAN.JK,2019-12-31,,0.0,-22483734.0,235000000.0,-82358441.0,,223394384.0,-54694511.0,670994.0,49476670.0,52570362.0,30418114.0,-300000015.0,-17358426.0,-226488076.0,-63144365.0,,,
BYAN.JK,2018-12-31,,0.0,-96684850.0,30000000.0,-303976127.0,,500436553.0,170516046.0,-732114.0,571909137.0,39522139.0,-16812086.0,-150000008.0,-183976119.0,31950445.0,-82175628.0,,,
MDKA.JK,2021-12-31,-127160000.0,0.0,-242310367.0,79488959.0,246646459.0,,36138677.0,134444240.0,-2776265.0,132884413.0,122616032.0,-3292666.0,,-4582141.0,-25870296.0,-110974569.0,172023090.0,-283449.0,
MDKA.JK,2020-12-31,-5000000.0,0.0,-69907987.0,-35332110.0,-48832383.0,,36196133.0,1433689.0,206834.0,119967225.0,57657836.0,-5459882.0,,-13500273.0,26113256.0,-56934118.0,172023090.0,-283449.0,
MDKA.JK,2019-12-31,-5000000.0,0.0,-153213684.0,34225031.0,65429183.0,,70827123.0,35506401.0,-65819.0,123356721.0,92947959.0,-5459882.0,,-28523525.0,-40418361.0,-134160668.0,59727677.0,-283449.0,
MDKA.JK,2018-12-31,-5000000.0,0.0,-114801889.0,-31135264.0,41689558.0,,52484129.0,-20586171.0,1620304.0,50905856.0,34721476.0,-5459882.0,-9743.0,-18856317.0,-36299749.0,-59154518.0,91690882.0,-283449.0,
UNTR.JK,2021-12-31,-114595000000.0,0.0,-3158997000000.0,-4147224000000.0,-7419838000000.0,,10279683000000.0,12823167000000.0,117148000000.0,23284854000000.0,8853341000000.0,-276894000000.0,-3013150000000.0,-259464000000.0,4151830000000.0,-3047601000000.0,,,
UNTR.JK,2020-12-31,-500000000.0,0.0,-2594328000000.0,-4505899000000.0,-7834254000000.0,,6003200000000.0,8407913000000.0,279407000000.0,18557088000000.0,10004552000000.0,-55621000000.0,-3639490000000.0,311135000000.0,2549336000000.0,-2878284000000.0,,,
UNTR.JK,2019-12-31,-267298000000.0,0.0,-9757541000000.0,3859388000000.0,-830690000000.0,,11312071000000.0,-1347514000000.0,-195268000000.0,9435985000000.0,8568354000000.0,-495305000000.0,-4609064000000.0,-81014000000.0,-10444440000000.0,-9221304000000.0,,,
UNTR.JK,2018-12-31,-254573000000.0,0.0,-27980823000000.0,4955786000000.0,1120862000000.0,,11125626000000.0,-7393314000000.0,256894000000.0,19209753000000.0,5228067000000.0,-538648000000.0,-3639490000000.0,-195434000000.0,2856060000000.0,-10328426000000.0,,,
BRPT.JK,2021-12-31,-624164000.0,0.0,-796395000.0,197322000.0,1169101000.0,,109115000.0,740083000.0,,367377000.0,166519000.0,12834000.0,-18000000.0,989779000.0,85203000.0,-158559000.0,,,
BRPT.JK,2020-12-31,-69893000.0,0.0,-337952000.0,312160000.0,297995000.0,,42373000.0,391108000.0,,431065000.0,167015000.0,-112151000.0,-18000000.0,-126608000.0,214984000.0,-139993000.0,115009000.0,-2566000.0,
BRPT.JK,2019-12-31,-145794000.0,0.0,-652016000.0,-130012000.0,136357000.0,,44130000.0,-56370000.0,,459289000.0,137387000.0,-44234000.0,-18000000.0,264835000.0,271049000.0,-478402000.0,1534000.0,-2566000.0,
BRPT.JK,2018-12-31,-38750000.0,0.0,-370329000.0,44166000.0,-277504000.0,,72226000.0,-105676000.0,,542157000.0,135733000.0,13630000.0,-47223000.0,-382738000.0,328109000.0,-408603000.0,111756000.0,-3465000.0,
ADRO.JK,2021-12-31,-296901000.0,0.0,-644612000.0,77196000.0,-153422000.0,,933492000.0,637438000.0,-860000.0,1436332000.0,485947000.0,-149586000.0,-146816000.0,13268000.0,16893000.0,-179966000.0,,-97070000.0,
ADRO.JK,2020-12-31,-182379000.0,0.0,-361657000.0,-482279000.0,-777967000.0,,146927000.0,-402488000.0,-1617000.0,738753000.0,449360000.0,-14665000.0,-250130000.0,-45558000.0,142466000.0,-177273000.0,,-97070000.0,
ADRO.JK,2019-12-31,24094000.0,0.0,-538504000.0,490993000.0,263300000.0,,404190000.0,648295000.0,7652000.0,917283000.0,388678000.0,-6362000.0,-200232000.0,-27461000.0,124415000.0,-466678000.0,,-97070000.0,
ADRO.JK,2018-12-31,-414036000.0,0.0,-800685000.0,-79428000.0,-370872000.0,,417720000.0,-278952000.0,-13305000.0,905910000.0,354096000.0,-7529000.0,-250130000.0,-41314000.0,134094000.0,-412086000.0,,-97070000.0,
KLBF.JK,2021-12-31,-128826006632.0,0.0,-1056018839164.0,-533194435028.0,-745176525687.0,,3183621310043.0,1008318381424.0,-16432529811.0,2825946276086.0,664205778940.0,108111152093.0,-1312442519080.0,1100460428421.0,-1031484715995.0,-503909797771.0,,,
KLBF.JK,2020-12-31,20400000000.0,0.0,-951215261376.0,221051875620.0,-1099712433603.0,,2733259864596.0,2215080564046.0,51263630505.0,4221549815090.0,604075210882.0,81517455200.0,-1218709674860.0,-99991434363.0,851168432496.0,-926997442324.0,,-2063200000.0,
KLBF.JK,2019-12-31,-2131911910.0,0.0,-1900541453691.0,415974846865.0,-706915284781.0,,2506764572075.0,-156324047226.0,-51836131145.0,2502968822391.0,470587284738.0,104223887107.0,-1218753174860.0,95863043214.0,-513587260298.0,-1733322991769.0,,-2063200000.0,
KLBF.JK,2018-12-31,4819176686.0,0.0,-1289828516617.0,41835968704.0,-1139657725535.0,,2457129032271.0,368241700799.0,26951993492.0,2770775949459.0,435089255518.0,62032679735.0,-1171878052750.0,-9615641489.0,-154418075421.0,-1307327219368.0,,-2063200000.0,
SMMA.JK,2021-12-31,12750000000.0,-638781000000.0,-322595000000.0,300906000000.0,-592533000000.0,5546096000000.0,948100000000.0,8984826000000.0,-96408000000.0,9996362000000.0,579046000000.0,,,-893439000000.0,1773347000000.0,-383424000000.0,,,1823692000000.0
SMMA.JK,2020-12-31,52133000000.0,2725270000000.0,-605880000000.0,629188000000.0,-97159000000.0,-1132858000000.0,-20204000000.0,2049155000000.0,58090000000.0,2694104000000.0,622549000000.0,,,-726347000000.0,96504000000.0,-669389000000.0,,,379043000000.0
SMMA.JK,2019-12-31,3525498000000.0,63262000000.0,3186257000000.0,1153154000000.0,326442000000.0,-9353264000000.0,4980086000000.0,-2056828000000.0,-29570000000.0,-5539957000000.0,552771000000.0,,,-826712000000.0,-2117263000000.0,-368943000000.0,,,334424000000.0
SMMA.JK,2018-12-31,1125000000.0,145553000000.0,-637000000000.0,784489000000.0,406514000000.0,-8022594000000.0,1323454000000.0,-921942000000.0,59811000000.0,-751267000000.0,367067000000.0,,-6368000000.0,-371607000000.0,5903897000000.0,-384774000000.0,,,-487992000000.0
BRIS.JK,2021-12-31,-17783534000000.0,0.0,-18571038000000.0,-130215000000.0,-3924244000000.0,17615506000000.0,3028205000000.0,27841000000.0,,22523123000000.0,1166940000000.0,,,-3846315000000.0,684422000000.0,-787504000000.0,52286000000.0,,
BRIS.JK,2020-12-31,-10661812000000.0,0.0,-11747901000000.0,-241327000000.0,23398886000000.0,-17121217000000.0,2187649000000.0,299017000000.0,,-11351968000000.0,1340813000000.0,,-254808000000.0,23539380000000.0,2246184000000.0,-1093299000000.0,355641000000.0,,
BRIS.JK,2019-12-31,-1170156000000.0,0.0,-1190710000000.0,-241327000000.0,296938000000.0,-1461334000000.0,74016000000.0,-1401589000000.0,,-507817000000.0,452615000000.0,,-10660000000.0,307598000000.0,378225000000.0,-12511000000.0,355641000000.0,,
BRIS.JK,2018-12-31,-1687046000000.0,0.0,-1748912000000.0,-241327000000.0,4468850000000.0,-2180901000000.0,106600000000.0,1208263000000.0,,-1511675000000.0,361624000000.0,,-10660000000.0,2156658000000.0,209129000000.0,-28459000000.0,2312192000000.0,,
MTEL.JK,2021-12-31,,0.0,-12597047043000.0,3396174036000.0,25851027456000.0,,1381071227000.0,18617167581000.0,,5363187168000.0,2426357283000.0,,-2181039874000.0,-827400150000.0,1524292167000.0,-12534954313000.0,25463293444000.0,,
MTEL.JK,2020-12-31,,0.0,-5181319397000.0,2164468072000.0,1485164310000.0,,601964452000.0,168568046000.0,,3864723133000.0,2284515326000.0,,-103215683000.0,-576088079000.0,963658465000.0,-4657611552000.0,25463293444000.0,,
MTEL.JK,2019-12-31,,0.0,-6294622538000.0,1055002776000.0,4635161468000.0,,493340716000.0,31328181000.0,,1666739951000.0,1111270436000.0,,-89926562000.0,-773775748000.0,-123589278000.0,-4499845410000.0,4443861002000.0,,
MTEL.JK,2018-12-31,,0.0,-1401094870000.0,831062311000.0,208489904000.0,,449632813000.0,-872594823000.0,,320010143000.0,929081127000.0,,-81478678000.0,-541093729000.0,-1197353198000.0,-1397039570000.0,4443861002000.0,,
TBIG.JK,2021-12-31,,0.0,-7005719000000.0,4685075000000.0,2217864000000.0,,1548975000000.0,-318216000000.0,4357000000.0,4465282000000.0,1122898000000.0,-1051509000000.0,-692194000000.0,-1604492000000.0,1793409000000.0,-5949527000000.0,,-170525000000.0,
TBIG.JK,2020-12-31,,0.0,-2051887000000.0,635953000000.0,-1316568000000.0,,1009625000000.0,422099000000.0,4097000000.0,3786457000000.0,800471000000.0,-610007000000.0,-605670000000.0,-1346851000000.0,1975707000000.0,-1354824000000.0,,-170525000000.0,
TBIG.JK,2019-12-31,,0.0,-2039485000000.0,933590000000.0,-1339700000000.0,,819454000000.0,304656000000.0,-7576000000.0,3691417000000.0,346600000000.0,-345684000000.0,-600000000000.0,-1630401000000.0,2230261000000.0,-1688650000000.0,,-42889000000.0,
TBIG.JK,2018-12-31,-369694000000.0,0.0,-2204859000000.0,1022652000000.0,-1229193000000.0,,680581000000.0,-186858000000.0,7242000000.0,3239952000000.0,263076000000.0,-345684000000.0,-760910000000.0,-968179000000.0,1992063000000.0,-1458245000000.0,,-522756000000.0,
MEGA.JK,2021-12-31,1114349000000.0,0.0,1064419000000.0,4050000000.0,17929230000000.0,-13038415000000.0,4008051000000.0,9901178000000.0,,-9092471000000.0,267441000000.0,,-2100000000000.0,20025180000000.0,-329548000000.0,-50446000000.0,,,
MEGA.JK,2020-12-31,-4847138000000.0,0.0,-4932652000000.0,331000000000.0,1508987000000.0,-5000616000000.0,3008311000000.0,-6148451000000.0,,-2724786000000.0,301766000000.0,,-1001350000000.0,2179337000000.0,-1034247000000.0,-91204000000.0,,,
MEGA.JK,2019-12-31,3227725000000.0,0.0,3147712000000.0,331000000000.0,14608375000000.0,-14258205000000.0,2002733000000.0,5997796000000.0,,-11758291000000.0,232889000000.0,,-799650000000.0,15408025000000.0,264292000000.0,-93940000000.0,,,
MEGA.JK,2018-12-31,-5366410000000.0,0.0,-5496493000000.0,-143800000000.0,-542055000000.0,-5954848000000.0,1599347000000.0,-9490222000000.0,,-3451674000000.0,219620000000.0,,-650000000000.0,251745000000.0,684207000000.0,-137412000000.0,,,
GGRM.JK,2021-12-31,-35000000000.0,0.0,-4844167000000.0,3528000000000.0,-1474629000000.0,,5605315000000.0,-993642000000.0,-13000000.0,5325167000000.0,2896538000000.0,,-5002629000000.0,,-3176686000000.0,-4934572000000.0,,,
GGRM.JK,2020-12-31,75424000000.0,0.0,-5048267000000.0,-11120000000000.0,-11119999000000.0,,7647725000000.0,1309599000000.0,151000000.0,17477714000000.0,2725627000000.0,,-5002629000000.0,1000000.0,7104362000000.0,-5351416000000.0,,,
GGRM.JK,2019-12-31,25165000000.0,0.0,-4718278000000.0,396667000000.0,-4605962000000.0,,10880701000000.0,1843423000000.0,-6740000000.0,11174403000000.0,2529574000000.0,,-5002629000000.0,1000000.0,-2235872000000.0,-4986827000000.0,,,
GGRM.JK,2018-12-31,-140589000000.0,0.0,-3227776000000.0,-3700000000000.0,-8722387000000.0,,7791822000000.0,-717155000000.0,8308000000.0,11224700000000.0,2264730000000.0,,-5002629000000.0,-19758000000.0,1168148000000.0,-3110989000000.0,,,
AVIA.JK,2021-12-31,-4378209685248.0,0.0,-4516452269082.0,-40687808077.0,3218853652433.0,,1434613588930.0,-73170916603.0,-292712.0,1224427992758.0,187406162393.0,,-2350000000000.0,-37102870621.0,-397591758565.0,-133252101474.0,5646644331131.0,,
AVIA.JK,2020-12-31,-422020216670.0,0.0,-533313664492.0,-53246493044.0,-762981340566.0,,1136147153567.0,505733542690.0,-25739863.0,1802054287611.0,176518603415.0,,-700000000000.0,-9734847522.0,489388530629.0,-119261020020.0,5646644331131.0,,
AVIA.JK,2019-12-31,-422020216670.0,0.0,-184925291575.0,-53246493044.0,-1200000300000.0,,959368436372.0,-438338334379.0,3560462.0,946583696734.0,117816835681.0,,-1200000000000.0,-300000.0,-130601575319.0,-195200082892.0,5646644331131.0,,
