code,name,address,website,phone,description,share_list,sector,industry
ADMG,Polychem Indonesia Tbk,"Gedung Wisma 46 Kota BNI - Lt 20, RT.010 RW.009 Jl. Jend. Sudirman Kavling 1 Karet Tengsin Tanah Abang, Kota Adm., Jakarta",https://www.polychemindo.com,62 21 574 4848,"PT. Polychem Indonesia Tbk engages in the chemical and polyester businesses. The company operates through Polyester and Petrochemical segments. It offers mono-ethylene glycol, di-ethylene glycol, tri-ethylene glycol, and various ethoxylate products; and petrochemicals. The company also provides polyester chips, partially oriented yarns, polyester staple fibers, and drawn textured yarns. PT. Polychem Indonesia Tbk was founded in 1978 and is headquartered in Jakarta, Indonesia.",3889179559,Basic Materials,Specialty Chemicals
ADMR,Adaro Minerals Indonesia Tbk.,NULL,NULL,NULL,NULL,40882331500,NULL,NULL
ADRO,Adaro Energy Indonesia Tbk.,"Menara Karya Building - 23rd Floor Jl. H.R. Rasuna Said Block X-5 Kav. 1-2, Jakarta",https://www.adaro.com,62 21 521 1265,"PT Adaro Energy Indonesia Tbk, together with its subsidiaries, operates as an integrated energy producer in coal, energy, utilities, and supporting infrastructure sectors in Indonesia. The company operates through Coal Mining and Trading; Mining Services; Logistics; and Others segments. It provides coal mining and trading, mining contracting, quarrying, ship loading, mining support services, transportation, coal handling and barging, terminal handling, seaport, agriculture, power plant, trading, warehousing and transportation support, and water and mud treatment services. In addition, the company is involved in the construction, repair, and installation of machines; manufacture, repair, and maintenance of sea transportation equipment; and treats mine water into potable water. It also exports its products to China, Malaysia, Japan, India, Korea, and internationally. The company was formerly known as PT Adaro Energy and changed its name to PT Adaro Energy Indonesia Tbk in March 2022. PT Adaro Energy Indonesia Tbk was founded in 2004 and is headquartered in Jakarta, Indonesia.",31985962000,Energy,Thermal Coal
AGAR,Asia Sejahtera Mina Tbk.,"Jalan DR. Makaliwe Raya No. 16 B - RT008 RW 004 Grogol Village Grogol Petamburan District DKI Jakarta, Jakarta Barat",https://www.asiamina.com,62 21 2119 2523,"PT Asia Sejahtera Mina Tbk processes and sells seaweeds in Indonesia. The company offers dried Eucheuma cottonii, Eucheuma spinosum, and Gracilaria seaweeds. The company was founded in 2008 and is headquartered in Jakarta Barat, Indonesia.",1000000000,Consumer Defensive,Farm Products
AGII,Aneka Gas Industri Tbk.,"Gedung UGM Samator Pendidikan, Tower A - Floor 5 - 6 Jl. Dr. Sahardjo No. 83 Manggarai, Tebet, Jakarta Selatan",https://www.anekagas.com,62 21 8370 9111,"PT Aneka Gas Industri Tbk produces, markets, and sells industrial gases in Indonesia. The company offers air gases, including oxygen, nitrogen, and argon; mixed and specialty gases comprising sulfur hexafluoride, pure gas, sterilization gas, compressed natural, environmental calibration, and exhaust emissions engine gases; synthetic gases, such as hydrogen, carbon monoxide, and sulfur dioxide; medical oxygen gas, consists nitrous oxide gas, air gas, nitrogen gas, carbon dioxide, helium, lung function mix gases, calibration gas for blood analysis, and cryopreservation gas; and hydrocarbon gases, such as propane, natural, and liquid petroleum gas, as well as acetylene; and other gases includes ammonia, samator fuel gas, and krypton, neon, and xenon rare atmospheric gases. It also provides medical supply equipment, medical gas monitoring systems, onsite gas systems, gas handling and cutting equipment, and modular operating theatre products, as well as installation services. The company operates approximately 100 filling stations. PT Aneka Gas Industri Tbk was founded in 1916 and is headquartered in Jakarta Selatan, Indonesia.",3066660000,Basic Materials,Chemicals
AGRO,Bank Raya Indonesia Tbk.,"Bank Raya Building - 5th Floor Jl. Warung Jati Barat No.139, Jakarta Selatan",https://bankraya.co.id,62 21 7919 9980,"PT Bank Raya Indonesia Tbk provides various corporate, retail, micro, and consumer banking products and services in Indonesia. It accepts current accounts, and time deposits. The company's loan products include investment, working capital, collateral cash, construction, agro mobil, permanent employee, retirement compensation, pension, agro griya, multipurpose loans, as well as KKPE, KPEN RP, and commercial KKPA program loans. It also offers saving products; provides export/import transaction, guarantee banking, LLG and RTGS transfer, clearing, credit cards, and foreign exchange transaction services, as well as domestic credit letters and save deposit boxes. In addition, the company provides mobile and Internet banking, and treasury banking services; cash management systems; and ATM cards. As of December 31, 2021, it operated through 12 branch offices and 15 sub-branch offices; and 3 cash offices. The company was formerly known as PT Bank Rakyat Indonesia Agroniaga Tbk and changed its name to PT Bank Raya Indonesia Tbk in September 2021. The company was founded in 1989 and is headquartered in Jakarta Selatan, Indonesia. PT Bank Raya Indonesia Tbk operates as a subsidiary of PT Bank Rakyat Indonesia (Persero) Tbk.",22520433863,Financial Services,Bank - Regional
AGRS,Bank IBK Indonesia Tbk.,"Wisma GKBI - Suite UG-01 Jl. Jend. Sudirman No. 28, Jakarta Pusat",https://ibk.co.id,62 21 5790 8888,"PT Bank IBK Indonesia Tbk provides banking products and services in Indonesia. The company accepts savings and giro accounts, and deposits. It also offers business capital credit, investment credit, and consumption/consumptive credit loans, as well as non-cash loans; trade finance products, such as export and import documentary credit, L/C issuance, L/C amendment and/settlement, negotiation, trust receipt, standby and transfer letters of credit, and letters of guarantee/shipping guarantee, as well as ATM, foreign exchange, and remittance services. As of December 31, 2020, it had 11 branches, 11 sub-branches, and 7 cash offices located in Jakarta, Bekasi, Bandung, Surabaya, Lampung, Solo, Medan, Palembang, Tangerang, Semarang, Pontianak, and Pekanbaru. The company was founded in 1973 and is headquartered in Central Jakarta, Indonesia. PT Bank IBK Indonesia Tbk operates as a subsidiary of Industrial Bank of Korea.",27464646945,Financial Services,Bank - Regional
AHAP,Asuransi Harta Aman Pratama Tbk.,"Wisma 46 Kota BNI - 33rd Floor Jl.Jend. Sudirman Kav. 1, Jakarta Pusat",https://www.asuransi-harta.co.id,62 21 570 2060,"PT Asuransi Harta Aman Pratama Tbk engages in the general insurance business in Indonesia. It offers property all risk/industrial all risk, fire, earthquake, motor vehicle, marine cargo, and health insurance products, as well as other insurances, such as travel, personal accident, burglary, cash in safe and transit, billboard/neon sign, and electronic equipment insurance products. The company was founded in 1982 and is headquartered in Jakarta Pusat, Indonesia. PT Asuransi Harta Aman Pratama Tbk is a subsidiary of PT. Asuransi Central Asia.",4900000000,Financial Services,Insurance—Property & Casualty
AIMS,Akbar Indo Makmur Stimec Tbk,"Jalan Cipaku I No. 3 Petogogan - Kebayoran Baru, Jakarta Selatan",https://www.aims.co.id,62 21 722 1279,"PT Akbar Indo Makmur Stimec Tbk engages in the coal mining and trading business in Indonesia. The company was founded in 1957 and is headquartered in South Jakarta, Indonesia. PT Akbar Indo Makmur Stimec Tbk is a subsidiary of PT Aims Indo Investama.",220000000,Energy,Thermal Coal
AISA,FKS Food Sejahtera Tbk.,"Menara Astra Lantai 29 - Jl. Jend. Sudirman Kav. 5-6 Karet Tengsin Kecamatan Tanah Abang, Jakarta Pusat",https://www.fksfs.co.id,62 21 252 1698,"PT FKS Food Sejahtera Tbk, through its subsidiaries, engages in manufacturing, wholesale, and retail trade of food in Indonesia. The company offers dried and instant noodles and vermicelli products, wafer stick and extrusion snacks, biscuits, candies, and other snacks. It is also involved in the agriculture; supply of electricity, gas, steam, hot and cold air; and professional, scientific, and technical activities, as well as financial and insurance activities. The company was founded in 1990 and is headquartered in Central Jakarta, Indonesia. PT FKS Food Sejahtera Tbk is a subsidiary of PT Pangan Sejahtera Investama.",9311800000,Consumer Defensive,Packaged Foods
AKKU,Anugerah Kagum Karya Utama Tbk.,"Jl. Otto Iskandar Dinata - Raya No. 60 Jl. MH Thamrin Kav 8-9, Jakarta",https://www.anugerahkagum.com,,"PT Anugerah Kagum Karya Utama Tbk, through its subsidiaries, engages in general trading business in Indonesia. The company offers business, management, and administration consulting; mining operations support; general mining management; and hotel management. It is also involved in the rental of heavy equipment. The company was formerly known as PT Alam Karya Unggul Tbk and changed its name to PT Anugerah Kagum Karya Utama Tbk in October 2016. The company was incorporated in 2001 and is headquartered in Jakarta, Indonesia. PT Anugerah Kagum Karya Utama Tbk is a subsidiary of PT Eka Mandiri Anugerah Sejahtera.",6449463636,Real Estate,Real Estate Services
AKPI,Argha Karya Prima Industry Tbk.,"Jl Pahlawan - Karang Asem Barat Citeureup, Bogor",https://www.arghakarya.com,62 21 875 2707,"PT Argha Karya Prima Industry Tbk manufacturers, markets, trades, and distributes flexible packaging films in Indonesia, Africa, the Americas, the Middle East, Europe, Australia, and New Zealand. It operates through two segments, Manufacturing and Distribution. It offers biaxially oriented poly propylene films and polyester films. The company was founded in 1980 and is based in Bogor, Indonesia. PT Argha Karya Prima Industry Tbk is a subsidiary of PT Nawa Panduta.",612248000,Consumer Cyclical,Packaging & Containers
AKRA,AKR Corporindo Tbk.,"AKR Tower Lt 26 - Jl. Panjang No. 5 Kebon Jeruk, Jakarta",https://www.akr.co.id,62 21 531 1110,"PT AKR Corporindo Tbk, a logistics and supply chain company, engages in distribution and trading of petroleum and basic chemical products primarily in Indonesia. It operates through four segments: Trading and Distribution, Logistics Services, Manufacturing, and Industrial Estate. The Trading and Distribution segment is involved in the distribution of petroleum products and various basic chemicals, such as caustic soda, sodium sulphate, PVC resins, and soda ash. The Logistics Services segment offers various logistics services, including rental of storage tanks and warehouses, bagging, port handling, and transportation services primarily for liquid and solid chemical, and petroleum products. The Manufacturing segment produces and sells adhesive materials. The Industrial Estate segment leases and sells industrial and port estates. The company was formerly known as PT Aneka Kimia Raya Tbk and changed its name to PT AKR Corporindo Tbk in September 2004. The company was incorporated in 1977 and is headquartered in Jakarta, Indonesia. PT AKR Corporindo Tbk is a subsidiary of PT Arthakencana Rayatama.",20073474600,Energy,Oil & Gas Refining & Marketing
AKSI,Mineral Sumberdaya Mandiri Tbk.,"District 8 Treasury Tower Level 52 - Jl. Jendral Sudirman Kav.52-53 lot 28, Senayan Kebayoran Baru, Jakarta Selatan",https://www.mesmineral.co.id,62 21 5010 5769,"PT Mineral Sumberdaya Mandiri Tbk, through its subsidiary, PT Rezki Batulicin Transport, engages in the land transportation business in Indonesia. It offers coal transportation services. The company is also involved in the rental of vehicles and trading business. It has 6 scania units, 59 dump truck units, 2 water tank units, and 20 units of Volvo double trailers. The company was formerly known as PT Maming Enam Sembilan Mineral Tbk. PT Mineral Sumberdaya Mandiri Tbk was founded in 1990 and is based in Jakarta Selatan, Indonesia. PT Mineral Sumberdaya Mandiri Tbk is a subsidiary of PT Batulicin Enam Sembilan Transportasi.",720000000,Industrials,Rental & Leasing Services
ALDO,Alkindo Naratama Tbk.,"West Bandung Regency - Padalarang Cipeundeuy, Bandung",https://www.alkindo.co.id,62 22 686 8300,"PT Alkindo Naratama Tbk, together with its subsidiaries, produces and sells various convertible paper products in Indonesia. It operates in two segments, Paper and Chemical. The Paper segment offers papercore products, such as standard cores for packaging films, stretch films, and paper mill industries; white paper core suitable for polypropylene film, polyethylene film, coated paper, and tissue paper; special seamless core to maintain quality of the surface and the characteristics of the goods; and prime coating core used to minimize the shape of lines in premium materials for the composition of paper film, PP film, PVC, BOPP, polyester, and foil industries. This segment also provides paper tubes designed for optimal yarn winding; paper boxes for food grade packaging; paper bags as alternative to plastic bags; honeycomb furniture cores, graphic boards, textile boards/spacers, hole pads, board layers, and display boards under the HEXCELL name; and edge protectors, as well as core boards, kraftliners, greyboards, and duplexes. The Chemical segment manufactures water-based polymers; and distributes textile chemicals. The company was founded in 1989 and is based in Bandung, Indonesia. PT Alkindo Naratama Tbk is a subsidiary of PT Golden Arista International.",1316856070,Basic Materials,Paper & Paper Products
ALKA,Alakasa Industrindo Tbk,"Jalan Pulogadung No. 4 - Jakarta Industrial Estate Pulogadung, Jakarta Timur",https://www.ai.alakasa.co.id,62 21 460 8855,"PT Alakasa Industrindo Tbk, through its subsidiaries, operates in the aluminum industry in Indonesia. The company operates through Aluminium Industry and Trading segments. It engages in the aluminum extrusion activity; and trading of aluminum raw materials. The company also exports its products. PT Alakasa Industrindo Tbk was founded in 1972 and is based in East Jakarta, Indonesia.",507665055,Basic Materials,Aluminum
ALMI,Alumindo Light Metal Industry Tbk.,"Jalan Kembang Jepun No. 38-40 -, Surabaya",https://www.alumindo.com,62 31 353 1445,"PT Alumindo Light Metal Industry Tbk manufactures and sells flat aluminum sheet, foil, and related products in Indonesia, the United States, Asia, Europe, and Australia. It offers various aluminum products in the form of sheets, coils, and circles; embossed aluminum products primarily for use as roofing, siding, and surface decorations; and aluminum foils. The company provides its products for various applications, such as ceiling, decorative lighting, curtain walls, venetian blinds, roofing, buses or trucks bodies, license plates, road signs, various automotive parts, lamp fitting, covers, reflectors, cooking utensils, as well as cigarette packaging, pharmaceutical, food packaging, roofing insulation, and fin-stocks. PT Alumindo Light Metal Industry Tbk was founded in 1978 and is headquartered in Surabaya, Indonesia.",3816000000,Basic Materials,Aluminum
ALTO,Tri Banyan Tirta Tbk.,"Kampung Pasir Dalem - RT. RW: 002/002, Babakan Pari Cidahu District, Sukabumi",https://www.altospringswater.com,62 26 673 5813,"PT Tri Banyan Tirta Tbk engages in the manufacture and sale of bottled mineral and flavored water under the Alto and Total brand names in Indonesia. It also sells alkaline water products under the Total 8- + brand name. In addition, the company operates as an original equipment manufacturer of bottled VIT products. It serves plastic packaging, food, beverages, and canning/bottling, soft drink, and drinking and mineral water industries. The company was incorporated in 1997 and is headquartered in Sukabumi, Indonesia. PT Tri Banyan Tirta Tbk is a subsidiary of PT Fikasa Bintang Cemerlang.",2191870558,Consumer Defensive,Beverage - Non-Alcoholic
AMAG,Asuransi Multi Artha Guna Tbk.,"The City Center Batavia Tower One - 17th Floor Jl. KH Mas Mansyur Kav. 126, Jakarta",https://www.mag.co.id,62 21 270 0590,"PT Asuransi Multi Artha Guna Tbk provides general insurance and reinsurance services in Indonesia. It offers fire, earthquake, property, engineering, heavy equipment, cargo, motor vehicle, burglary, money, personal accident, health, and travel insurance products. The company also provides cash in ATM, comprehensive machinery, cash in management, garage keeper liability, fidelity guarantee, moveable all-risks, hole-in-one, neon sign, micro business, consortium market, public liability, terrorism and sabotage, and marine hull insurance. The company was founded in 1980 and is headquartered in Jakarta, Indonesia. PT Asuransi Multi Artha Guna Tbk is a subsidiary of Fairfax Asia Limited.",5001552516,Financial Services,Insurance—Diversified
AMAN,Makmur Berkah Amanda Tbk.,"APL Tower,Unit OT/35/T5 Podomoro City - Jl. S. Parman Kav. 28 Tanjung Duren Selatan Grogol Petamburan, Jakarta Barat",https://www.mbagroup.id,62 21 2119 2888,"PT Makmur Berkah Amanda Tbk, together with its subsidiary, operates as a real estate developer in Indonesia. It operates in three segments: Finished Warehouse, Rental, and Hospitality. The company develops residential, commercial, warehouse, and industrial properties. It also operates a hotel under the Hotel Element By Westin name. The company was founded in 1996 and is headquartered in Jakarta Barat, Indonesia. PT Makmur Berkah Amanda Tbk is a subsidiary of PT Griya Prima Amanda.",3873500000,Real Estate,Real Estate—Development
AMAR,Bank Amar Indonesia Tbk.,"Jalan Basuki Rahmad No. 109 -, Surabaya",https://amarbank.co.id,62 31 9901 5959,"PT Bank Amar Indonesia Tbk engages in the banking activities in Indonesia. It operates through three segments: Online, Brick and Mortar, and Head Office. The company offers saving and current accounts; time deposit; working capital loans; special financing; and investment loans, such as installment, fixed, demand, and stand-by loans; and consumer loans, including multipurpose, overdraft, and housing loans, as well as financing for financial institutions. It also offers treasury and investment, funding, and trade finance services. The company operates three branches in Kusuma Bangsa, Wiyung, and Jakarta; one sub-branch in Surabaya; and one cash office in Jakarta. The company was formerly known as PT. Anglomas International Bank and changed its name to PT Bank Amar Indonesia in 2014. PT Bank Amar Indonesia Tbk was incorporated in 1991 and is headquartered in Surabaya, Indonesia.",13646222000,Financial Services,Bank - Regional
AMFG,Asahimas Flat Glass Tbk.,"Jl. Ancol IX/5 - West Ancol, Jakarta Utara",https://www.amfg.co.id,62 21 690 4041,"PT Asahimas Flat Glass Tbk manufactures and sells flat and safety glass products in Indonesia. It operates in two segments, Flat Glass and Automotive Glass. The Flat Glass segment offers a range of clear and tinted, figured, reflective, coated, and mirror glasses, which are used primarily for glass curtain walls, window glass, and suspended glass in building construction, as well as a raw material for the downstream industry. The Automotive Glass segment provides tempered and laminated glasses that are principally used in the automotive industry. The company also provides automotive glass replacement, repair, and installation services. It also exports its products. The company was formerly known as PT Asahimas Flat Glass Co., Ltd. and changed its name to PT Asahimas Flat Glass Tbk in June 1998. PT Asahimas Flat Glass Tbk was founded in 1971 and is headquartered in North Jakarta, Indonesia.",434000000,Industrials,Building Products & Equipment
AMIN,Ateliers Mecaniques D Indonesie Tbk.,"Jalan Sei Belumai Km. 2,4 - No. 30-38, Desa Dagang Kelambir Tanjung Marowa, Deli Serdang",https://www.atmindoboiler.com,62 61 794 7751,"PT Ateliers Mecaniques D'Indonesie Tbk designs, manufactures, and erects boilers in Indonesia, Nigeria, Cameroon, the Republic of Cote D'Ivoire, Congo, Saotoma and Principe, Belgium, and Liberia. The company offers solid fuel membrane wall boilers, solid fuel brick wall boilers, combi boilers, and firetube boilers. It also provides horizontal and vertical sterilizers; and sterilizer doors, as well as deaerators for use in the removal of air and other dissolved gases primarily oxygen from the feed water to boiler drum. In addition, the company provides air-preheater, a heat recovery equipment; economizer that is used to enhance boiler operation efficiency; and superheater, which converts wet saturated steam into dry steam, as well as dust collectors. Further, it designs and fabricates pressure vessel tanks, piping systems, and boilers for the palm oil industry. Additionally, the company is involved in the trade and assembly of a range of machinery, plant construction, and repair and maintenance services, as well as agency and marketing activities. It serves palm oil mill, sugar mill, refinery, rubber processing, power plant, power generation, wood processing, chocolate factory, hotel, laundry, textile factory, and plastic factory industries. The company was founded in 1972 and is headquartered in Deli Serdang, Indonesia. PT Ateliers Mecaniques D'Indonesie Tbk is a subsidiary of Sphere Corporation Sdn Bhd.",1080000000,Industrials,Specialty Industrial Machinery
AMMS,Agung Menjangan Mas Tbk.,NULL,NULL,NULL,NULL,1200000000,NULL,NULL
AMOR,Ashmore Asset Management Indonesia Tbk.,"Pacific Century Place - 18th Floor SCBD Lot 10 Jalan Jendral Sudirman Kav 52-53, Jakarta",https://www.ashmoregroup.com,62 21 2953 9000,"PT Ashmore Asset Management Indonesia Tbk s an investment management company. The firm was founded in 2010 and is headquartered in Jakarta Utara, Jakarta Raya, Indonesia.",2222222400,Financial Services,Asset Management
AMRT,Sumber Alfaria Trijaya Tbk.,"Alfa Tower - 12th Floor Jl. Jalur Sutera Barat Kav. 9 Alam Sutera, Tangerang",https://alfamart.co.id,62 21 8082 1555,"PT Sumber Alfaria Trijaya Tbk engages in the retail distribution of consumer products in Indonesia. The company's stores offer food and non-food products. It also provides transportation and freight forwarding services; and operates a pharmacy, as well as engages in the retail distribution of cosmetics. PT Sumber Alfaria Trijaya Tbk sells its products through 16,492 stores, as well as through the internet. The company was founded in 1989 and is headquartered in Tangerang, Indonesia. PT Sumber Alfaria Trijaya Tbk is a subsidiary of PT Sigmantara Alfindo.",41524501700,Consumer Defensive,Grocery Stores
