symbol,shortName,longName,sector,fullTimeEmployees,industry,longBusinessSummary,city,address1,address2,website,phone,fax
HMSP.JK,H.M. Sampoerna Tbk.,PT Hanjaya Mandala Sampoerna Tbk,Consumer Defensive,20743.0,Tobacco,"PT Hanjaya Mandala Sampoerna Tbk, together with its subsidiaries, engages in manufacture, distribution, and trading of cigarettes in Indonesia. The company engages in the general trading, property development, and expedition and warehousing businesses; and e-commerce and agency activities. It sells its products under the Dji Sam Soe Magnum, Sampoerna Kretek, Sampoerna A, Philip Morris, and Marlboro Filter Black brand names. The company was founded in 1913 and is headquartered in Surabaya, Indonesia. PT Hanjaya Mandala Sampoerna Tbk is a subsidiary of PT Philip Morris Indonesia.",Surabaya,Jl. Rungkut Industri Raya No.18,,https://www.sampoerna.com,62 31 843 1699,62 31 843 0986
ICBP.JK,Indofood CBP Sukses Makmur Tbk.,PT Indofood CBP Sukses Makmur Tbk,Consumer Defensive,36248.0,Packaged Foods,"PT Indofood CBP Sukses Makmur Tbk, together with its subsidiaries, produces and sells consumers products in Indonesia, rest of Asia, the Middle East, Africa, and internationally. It offers noodles, sauces, and instant seasonings under the Indomie, Supermi, Sarimi, Pop Mie, Sakura, and Mi Telur Cap 3 Ayam brands, as well as sweetened condensed milk; UHT, sterilized bottled, and pasteurized liquid milk; powdered milk; ice cream; and butter under the Indomilk, Cap Enaak, Tiga Sapi, Kremer, Orchid Butter, Indofoof Icecream, Good To Go, and Milkuat brands. The company also provides chips and non-chips snacks, such as potato-based biscuits, cassavas, and wheat flour under the Chitato, Qtela, Chiki, Jetz, Trenz, Chitato Lite, and Maxicorn brands; and food seasonings, including powdered and liquid seasonings, condiments, and syrups under the Sambal Indofood, Bumbu Special Indofood, Bumbu Racik, Indofood Freiss, and Kecap Indofood brands. In addition, it offers nutrition and special foods, such as baby cereals, follow-on cereals, noodle soups, and baby biscuits, as well as fortified milk for expectant and lactating mothers under the Promina, Sun, Govit, and Gowell brands; and beverages comprising tea, packaged water, and fruit-flavored drinks under the brands of Ichi Ocha, Club, and Fruitamin. Further, the company manufactures packaging materials and non-alcoholic beverages; markets and distributes culinary products; processes oil and fats; manages restaurants; and provides investment and trade export agency, management consulting, general trading, and transportation services. Additionally, it produces and distributes of dairy products and industrial estate. The company was founded in 1982 and is headquartered in Jakarta, Indonesia. PT Indofood CBP Sukses Makmur Tbk is a subsidiary of PT Indofood Sukses Makmur Tbk.",Jakarta,Sudirman Plaza,"Indofood Tower 23rd Floor Jalan Jenderal Sudirman Kav, 76 - 78",https://www.indofoodcbp.com,62 21 5793 7500,62 21 5793 7557
CPIN.JK,Charoen Pokphand Indonesia Tbk,PT Charoen Pokphand Indonesia Tbk,Consumer Defensive,8559.0,Farm Products,"PT Charoen Pokphand Indonesia Tbk produces and sells poultry feed, processed chicken, and day old chicks (DOC) in Indonesia. The company offers broiler and layer poultry feed; and various poultry feed products for parent stock, duck, native chicken, fighting cock, and quail, as well as feed for cattle and swine under the brands of HI-PRO, HI-PRO-VITE, BINTANG, BONAVITE, ROYAL FEED, TURBO FEED, and TIJI. It also provides various types of DOC, such as broiler DOC; layer DOC; and other DOC, such as DOC for parent stock and male layer. In addition, the company sells various food products under the Golden Fiesta, Fiesta, Champ, and Okey brands. Further, it is involved in poultry farming and beverage activities; trading of processed food and medicine; the production of plastic packaging products; the production and distribution of raw material for feed; and the operation of restaurants and convenience stores. The company was formerly known as PT Charoen Pokphand Indonesia Animal Feedmill Co. Limited. PT Charoen Pokphand Indonesia Tbk was founded in 1972 and is headquartered in Jakarta, Indonesia. PT Charoen Pokphand Indonesia Tbk is a subsidiary of PT Charoen Pokphand Indonesia Group.",Jakarta,Jalan Ancol VIII No.1,"Kelurahan Ancol, Kecamatan Pademangan North Jakarta",https://cp.co.id,62 21 691 9999,62 21 690 7324
BYAN.JK,Bayan Resources Tbk.,PT Bayan Resources Tbk,Energy,3127.0,Thermal Coal,"PT Bayan Resources Tbk, together with its subsidiaries, engages in the open cut mining and sale of coal in Kalimantan. It operates through Coal and Non-Coal segments. The company produces semi-soft coking, bituminous, sub-bituminous low-sulphur, and low-ash coal. In addition, the company trades in solid, liquid, gas fuel, and relevant products, such as natural petroleum, petroleum, diesel fuel, gasoline, oil fuel, kerosene, coal, charcoal, rock charcoal residues, timber fuel, naphtha, and other fuels. It has rights to mine 5 coal contracts of works and 16 mining business permits with a concession area of 126,293 hectares. The company also owns and operates a Balikpapan coal terminal located in Balikpapan, East Kalimantan, as well as owns and manages two Kalimantan floating transfer barges located in East Kalimantan. Further, it is involved in the provision of mining contractor, port management, shipping, construction, transportation, and trading services. PT Bayan Resources Tbk was founded in 1973 and is headquartered in Jakarta, Indonesia.",Jakarta,Office 8 Building,37th floor Sudirman CBD Lot 28 Jln Jenderal Sudirman Kav. 52-53 (Jl. Se,https://www.bayan.com.sg,62 21 2935 6888,62 21 2935 6999
MDKA.JK,Merdeka Copper Gold Tbk.,PT Merdeka Copper Gold Tbk,Basic Materials,6012.0,Other Industrial Metals & Mining,"PT Merdeka Copper Gold Tbk engages in the mining business in Indonesia. It explores for gold, silver, copper, and other related minerals, as well as provides mining services. The company holds interests in the Tujuh Bukit Copper project; Pani Gold project; Wetar/Morowali Acid Iron Metal; Tujuh Bukit Gold project; nickel mining and refining assets; and Wetar Copper project. It also offers processing and trading services. The company was formerly known as PT Merdeka Sera and changed its name to PT Merdeka Copper Gold Tbk in December 2014. PT Merdeka Copper Gold Tbk was founded in 2012 and is headquartered in Jakarta, Indonesia.",Jakarta,The Convergence Indonesia,"20th Floor Rasuna Epicentrum Boulevard Jl. H.R. Rasuna Said, Karet Kuningan, Se",https://www.merdekacoppergold.com,62 21 2988 0393,61 21 2988 0392
UNTR.JK,United Tractors Tbk.,PT United Tractors Tbk,Basic Materials,30847.0,Other Industrial Metals & Mining,"PT United Tractors Tbk, together with its subsidiaries, sells and rents heavy equipment in Indonesia. The company operates through six segments: Construction Machinery, Mining Contracting, Coal Mining, Gold Mining, Construction Industry, and Energy. It also distributes heavy equipment under the Komatsu, UD Trucks, Scania, Bomag, and Tadano names to mining, plantation, construction, and forestry sectors, as well as for industrial heavy equipment. In addition, it sells and leases tractors, generators, forklifts, and mini excavators, as well as sells commodity parts. Further, the company offers mining services that supports coal companies, such as mining design and implementation, preliminary assessment and feasibility studies, construction of infrastructure and plant, removal of overburden and waste, commercial production, expansion of mine/plant, reclamation and revegetation, and transshipment and marketing, as well as owns interests in various coal mine concessions with total estimated coal reserves of 63 million tons, as well as technical and construction services for building, civil, and maritime work. Additionally, it engages in the engineering, planning, assembling, and manufacturing components of machinery, tools, parts, and heavy equipment; provision of vessel construction and related repair services; provision of vessel charter and shipping, and reconditioning services for engines and components; operating power plants; concrete product businesses; fishery business; exploration, mining, and mineral processing of gold and silver; and manufacturing of heavy equipment components and attachments. The company was founded in 1972 and is headquartered in Jakarta Timur, Indonesia. PT United Tractors Tbk is a subsidiary of PT Astra International Tbk.",Jakarta Timur,Jl. Raya Bekasi Km 22,Cakung,https://www.unitedtractors.com,62 21 2457 9999,62 21 460 0657
BRPT.JK,Barito Pacific Tbk.,PT Barito Pacific Tbk,Basic Materials,3393.0,Chemicals,"PT Barito Pacific Tbk, together with its subsidiaries, engages in the petrochemical production business. It operates through Petrochemical, Building and Hotel Management (Property), Energy and Resources, and Others segments. The company produces petrochemical products, which include olefins, such as ethylene, propylene, py-gas, and mixed C4; polyolefins, including polyethylene and polypropylene; styrene monomer, a material for downstream industry products comprising polystyrene (PS), expanded PS, styrene acrylonitrile, acrylonitrile butadiene styrene, styrene butadiene rubber, styrene butadiene latex, and unsaturated polyester resins; and polybutadiene rubber and solution styrene butadiene rubber used as raw materials for the production of tires. It also operates geothermal operations. In addition, the company manages properties; develops industrial and commercial property, commercial complex, office space, and standard factory building; and owns and manages hotel. Further, it engages in the logistics and glue production businesses. The company was formerly known as PT Barito Pacific Timber Tbk and changed its name to PT Barito Pacific Tbk in 2007. PT Barito Pacific Tbk was founded in 1979 and is headquartered in Jakarta, Indonesia.",Jakarta,Wisma Barito Pacific Tower B,8th Floor Jl. Let. Jend. S. Parman Kav. 62 - 63,https://www.barito-pacific.com,62 21 530 6711,62 21 530 6680
ADRO.JK,Adaro Energy Tbk.,PT Adaro Energy Tbk,Energy,9849.0,Thermal Coal,"PT Adaro Energy Indonesia Tbk, together with its subsidiaries, operates as an integrated energy producer in coal, energy, utilities, and supporting infrastructure sectors in Indonesia. The company operates through Coal Mining and Trading; Mining Services; Logistics; and Others segments. It provides coal mining and trading, mining contracting, quarrying, ship loading, mining support services, transportation, coal handling and barging, terminal handling, seaport, agriculture, power plant, trading, warehousing and transportation support, and water and mud treatment services. In addition, the company is involved in the construction, repair, and installation of machines; manufacture, repair, and maintenance of sea transportation equipment; and treats mine water into potable water. It also exports its products to China, Malaysia, Japan, India, Korea, and internationally. The company was formerly known as PT Adaro Energy and changed its name to PT Adaro Energy Indonesia Tbk in March 2022. PT Adaro Energy Indonesia Tbk was founded in 2004 and is headquartered in Jakarta, Indonesia.",Jakarta,Menara Karya Building,23rd Floor Jl. H.R. Rasuna Said Block X-5 Kav. 1-2,https://www.adaro.com,62 21 521 1265,62 21 579 44687
KLBF.JK,Kalbe Farma Tbk.,PT Kalbe Farma Tbk.,Healthcare,12501.0,Drug Manufacturers—General,"PT Kalbe Farma Tbk., together with its subsidiaries, develops, manufactures, and trades in pharmaceutical products in Indonesia. The company operates through four divisions: Prescription Pharmaceuticals, Consumer Health, Nutritionals, and Distribution and Logistic. It offers generic, branded, and licensed drugs, including Brainact, Cefspan, Mycoral, Cernevit, Cravit, Neuralgin, Broadced, Neurotam, Hemapo, and CPG that are distributed to hospitals, pharmacies, and drug stores. The company also provides over-the-counter drugs; energy drinks, ready-to-drink products, supplements, and other preventive products; and nutritional products for infants, toddlers, children, teenagers, adults, pregnant and lactating women, and elders, as well as for consumers with special medical needs. In addition, it offers contract services, including clinical study management, bioavailability/bioequivalence studies, and contract analysis to pharmaceutical companies; and animal health products, as well as operates Mitrasana Clinics, a health care service. Further, the company provides health screening services; operates as an agent and representative for biotechnology products; distributes consumer products, medical equipment, cosmetics, and other trading products; and trades in medical and laboratory equipment and supplies, raw materials for pharmaceutical products, and consumable products for hemodialysis therapy, as well as offers advertising services. PT Kalbe Farma Tbk. was incorporated in 1966 and is headquartered in Jakarta, Indonesia.",Jakarta,Gedung KALBE,Jl. Let. Jend. Suprapto Kav. 4 Cempaka Putih,https://www.kalbe.co.id,62 21 4287 3888,62 21 4287 3678
SMMA.JK,Sinarmas Multiartha Tbk.,PT Sinar Mas Multiartha Tbk,Financial Services,6233.0,Insurance—Diversified,"PT Sinar Mas Multiartha Tbk provides various financial services to individual and corporate clients in Indonesia. The company offers savings and current accounts; time deposits, deposit on call, and Syariah funding; trade finance, remittance, foreign exchange, and bond trading; bancassurance and mutual funds; internet, mobile, and phone banking; debit and credit cards; ATMs; safe deposit box, travellers cheque, payroll, bill payment, and virtual accounts. It also provides investment, working capital, multi-purpose, sharia, and other financing products; online/information technology-based money lending services; securities and commodity trading, securities administration bureau, general trading, property, information technology, venture capital, fund management, automotive, guarantee, and forestry services. The company was formerly known as PT Internas Artha Finance Company and changed its name to PT Sinar Mas Multiartha Tbk in February 1995. The company was founded in 1982 and is headquartered in Jakarta Pusat, Indonesia. PT Sinar Mas Multiartha Tbk is a subsidiary of PT Sinar Mas Cakrawala.",Jakarta Pusat,Menara Tekno Lt. 7,Jl. Fachruddin No. 19,https://www.smma.co.id,62 21 392 5660,62 21 392 5788
BRIS.JK,Bank Syariah Indonesia Tbk.,PT Bank Syariah Indonesia Tbk,Financial Services,17336.0,Banks—Regional,"PT Bank Syariah Indonesia Tbk provides various commercial banking products and services in Indonesia. The company operates through five segments: Wholesale, Small and Medium Enterprise (SME), Consumer, Micro, and Others. It offers banking products and services that include savings, demand deposits, and time deposits; micro financing; working capital and investment financing; and internet banking services. The company also provides movable or immovable goods lease financing; debit and financing cards; buying, selling, and guaranteeing third party securities; money transfer and custody services; letters of credit; bank guarantee facilities; and trustee, safekeeping, and foreign exchange services. In addition, it publishes, offers, and trades in short and long term securities. As of December 31, 2021, the company operated through a network of 272 branch offices, 972 sub-branch offices, and 74 cash offices. The company was founded in 1969 and is headquartered in South Jakarta, Indonesia. PT Bank Syariah Indonesia Tbk is a subsidiary of PT Bank Mandiri (Persero) Tbk.",Jakarta Selatan,The Tower Building,Jalan Gatot Subroto No. 27 Karet Semanggi Village Setiabudi District,https://www.bankbsi.co.id,62 21 3040 5999,62 21 3042 1888
MTEL.JK,Dayamitra Telekomunikasi Tbk.,PT Dayamitra Telekomunikasi,Communication Services,336.0,Telecom Services,"PT Dayamitra Telekomunikasi Tbk. provides telecommunication infrastructure solutions. It operates in two segments: Telecommunication Tower Lease and Others. The company operates and maintains macro and small cells, colocations, and resellers. It also offers project solutions, such as fiber optic, service, tower, and mechanical and electrical solutions; managed services; and digital-based service or internet of things (IoT) infra solutions, such as remote tower management that has IoT enabled alarms for various sites. The company was formerly known as PT Dayamitra Malindo. The company was founded in 1995 and is headquartered in Jakarta, Indonesia. PT Dayamitra Telekomunikasi Tbk. is a subsidiary of PT Telekomunikasi Indonesia (Persero) Tbk.",Jakarta,Telkom Landmark Tower,Lantai 25-27 Jl. Gatot Subroto Kav. 52,https://www.mitratel.co.id,62 21 2793 3363,62 21 2277 0871
TBIG.JK,Tower Bersama Infrastructure Tb,PT Tower Bersama Infrastructure Tbk,Communication Services,650.0,Telecom Services,"PT Tower Bersama Infrastructure Tbk, together with its subsidiaries, provides telecommunication infrastructure space for installation of telecommunication equipment in Indonesia. It leases space for antennas and other equipment for wireless signal transmission at tower sites with telecommunications operators. The company also provides telecommunications operators with access to its distributed antennae system (DAS) networks in shopping malls and office buildings in urban areas. As of December 31, 2021, it had 39,088 tenants; and 20,578 telecommunications sites comprising 20,466 telecommunications towers and 112 DAS networks. The company was formerly known as PT Banyan Mas. PT Tower Bersama Infrastructure Tbk was founded in 2004 and is headquartered in Jakarta Selatan, Indonesia.",Jakarta Selatan,The Convergence Indonesia,11th Floor Kawasan Rasuna Epicentrum Jalan H.R. Rasuna Said,https://www.tower-bersama.com,62 21 2924 8900,62 21 2157 2015
